WordOrder	PunctuationPrecedingWord	PunctuationFollowingWord
000001		
000002		
000003		
000004		
000005		
000006		
000007		
000008		<pm>.</pm><pm>¶</pm>
000009		
000010		
000011		
000012		<pm>,</pm>
000013		
000014		
000015		
000016		
000017		<pm>,</pm>
000018		
000019		
000020		
000021		
000022		
000023		
000024		
000025		
000026		<pm>,</pm>
000027		
000028		
000029		
000030		
000031		
000032		
000033		
000034		
000035		
000036		
000037		<pm>,</pm>
000038		
000039		
000040		
000041		
000042		<pm>,</pm>
000043		
000044		
000045		
000046		
000047		<pm>,</pm>
000048		
000049		
000050		
000051		
000052		<pm>,</pm>
000053		
000054		
000055		
000056		
000057		<pm>,</pm>
000058		
000059		
000060		
000061		
000062		<pm>,</pm>
000063		
000064		
000065		
000066		
000067		
000068		
000069		
000070		<pm>,</pm>
000071		
000072		
000073		
000074		
000075		
000076		
000077		
000078		<pm>,</pm>
000079		
000080		
000081		
000082		
000083		<pm>,</pm>
000084		
000085		
000086		
000087		
000088		
000089		
000090		<pm>.</pm><pm>¶</pm>
000091		
000092		
000093		
000094		
000095		
000096		
000097		
000098		
000099		<pm>,</pm>
000100		
000101		
000102		
000103		
000104		<pm>,</pm>
000105		
000106		
000107		
000108		
000109		<pm>,</pm>
000110		
000111		
000112		
000113		
000114		<pm>,</pm>
000115		
000116		
000117		
000118		
000119		<pm>,</pm>
000120		
000121		
000122		
000123		
000124		<pm>,</pm>
000125		
000126		
000127		
000128		
000129		<pm>,</pm>
000130		
000131		
000132		
000133		
000134		<pm>,</pm>
000135		
000136		
000137		
000138		
000139		<pm>,</pm>
000140		
000141		
000142		
000143		
000144		<pm>,</pm>
000145		
000146		
000147		
000148		
000149		<pm>,</pm>
000150		
000151		
000152		
000153		
000154		<pm>,</pm>
000155		
000156		
000157		
000158		
000159		<pm>,</pm>
000160		
000161		
000162		
000163		
000164		
000165		
000166		
000167		
000168		
000169		
000170		
000171		
000172		<pm>.</pm><pm>¶</pm>
000173		
000174		
000175		
000176		
000177		
000178		
000179		
000180		
000181		<pm>,</pm>
000182		
000183		
000184		
000185		
000186		<pm>,</pm>
000187		
000188		
000189		
000190		
000191		<pm>,</pm>
000192		
000193		
000194		
000195		
000196		<pm>,</pm>
000197		
000198		
000199		
000200		
000201		<pm>,</pm>
000202		
000203		
000204		
000205		
000206		<pm>,</pm>
000207		
000208		
000209		
000210		
000211		<pm>,</pm>
000212		
000213		
000214		
000215		
000216		<pm>,</pm>
000217		
000218		
000219		
000220		
000221		<pm>,</pm>
000222		
000223		
000224		
000225		
000226		<pm>,</pm>
000227		
000228		
000229		
000230		
000231		<pm>,</pm>
000232		
000233		
000234		
000235		
000236		
000237		
000238		
000239		<pm>,</pm>
000240		
000241		
000242		
000243		
000244		
000245		
000246		<pm>.</pm><pm>¶</pm>
000247		
000248		
000249		
000250		
000251		
000252		
000253		
000254		
000255		
000256		<pm>,</pm>
000257		
000258		
000259		
000260		
000261		
000262		
000263		
000264		
000265		<pm>,</pm>
000266		
000267		
000268		
000269		
000270		
000271		
000272		
000273		
000274		
000275		<pm>.</pm><pm>¶</pm>
000276		
000277		
000278		
000279		
000280		
000281		
000282		
000283		<pm>.</pm>
000284		
000285		
000286		
000287		
000288		
000289		
000290		<pm>,</pm>
000291		
000292		
000293		
000294		
000295		
000296		
000297		
000298		
000299		
000300		
000301		<pm>.</pm>
000302		
000303		
000304		
000305		
000306		<pm>,</pm>
000307		
000308		
000309		
000310		
000311		
000312		
000313		<pm>,</pm>
000314		
000315		
000316		
000317		<pm>.</pm>
000318		
000319		
000320		
000321		
000322		
000323		
000324		
000325		
000326		
000327		
000328		
000329		<pm>·</pm>
000330		
000331		
000332		<pm>,</pm>
000333		
000334		
000335		
000336		
000337		
000338		
000339		<pm>·</pm>
000340		
000341		
000342		
000343		
000344		
000345		
000346		
000347		
000348		<pm>.</pm>
000349		
000350		
000351		<pm>,</pm>
000352		
000353		
000354		
000355		
000356		
000357		<pm>·</pm>
000358		
000359		
000360		
000361		
000362		
000363		
000364		
000365		
000366		
000367		<pm>.</pm>
000368		
000369		
000370		
000371		
000372		
000373		
000374		
000375		
000376		
000377		
000378		
000379		
000380		
000381		<pm>·</pm>
000382	<pm>‡</pm>	
000383		
000384		
000385		
000386		
000387		
000388		
000389		
000390		<pm>,</pm>
000391	<pm>‡</pm>	
000392		
000393		
000394		
000395		
000396		<pm>,</pm><pm>¶</pm>
000397		
000398		
000399		
000400		
000401		
000402		
000403		<pm>.</pm>
000404		
000405		
000406		
000407		
000408		
000409		
000410		
000411		
000412		
000413		
000414		
000415		
000416		
000417		
000418		
000419		
000420		
000421		
000422		<pm>,</pm>
000423		
000424		
000425		
000426		
000427		
000428		
000429		
000430		<pm>·</pm>
000431		
000432		
000433		
000434		
000435		
000436		<pm>.</pm><pm>¶</pm>
000437		
000438		
000439		
000440		
000441		
000442		
000443		
000444		
000445		
000446		
000447		
000448		
000449		<pm>,</pm>
000450		
000451		
000452		
000453		
000454		
000455		
000456		
000457		<pm>·</pm>
000458		
000459		
000460		
000461		
000462		
000463		
000464		<pm>;</pm>
000465		
000466		
000467		
000468		
000469		
000470		
000471		
000472		
000473		
000474		
000475		
000476		<pm>.</pm>
000477		
000478		
000479		
000480		
000481		
000482		
000483		
000484		
000485		
000486		
000487		<pm>,</pm>
000488		
000489		
000490		
000491		
000492		
000493		
000494		
000495		
000496		
000497		
000498		
000499		
000500		
000501		
000502		
000503		<pm>.</pm>
000504		
000505		
000506		
000507		<pm>·</pm>
000508		
000509		
000510		
000511		<pm>·</pm>
000512		
000513		
000514		
000515		
000516		
000517		<pm>·</pm>
000518	<pm>‡</pm>	
000519		
000520		<pm>,</pm>
000521		
000522		<pm>,</pm>
000523	<pm>‡</pm>	
000524		
000525		
000526		
000527		
000528		
000529		<pm>·</pm>
000530	<pm>‡</pm>	
000531		
000532		
000533		
000534		<pm>,</pm>
000535	<pm>‡</pm>	
000536		
000537		
000538		
000539		
000540		
000541		<pm>.</pm><pm>¶</pm>
000542		
000543		
000544		
000545		
000546		
000547		
000548		
000549		
000550		
000551		
000552		
000553		
000554		
000555		<pm>,</pm>
000556		
000557		
000558		
000559		
000560		
000561		<pm>·</pm>
000562		
000563		
000564		
000565		
000566		
000567		<pm>·</pm>
000568		
000569		
000570		<pm>,</pm>
000571		
000572		<pm>,</pm>
000573		
000574		
000575		
000576		
000577		<pm>.</pm>
000578		
000579		
000580		
000581		
000582		
000583		
000584		
000585		
000586		
000587		<pm>,</pm>
000588		
000589		
000590		
000591		
000592		<pm>,</pm>
000593		
000594		<pm>,</pm>
000595		
000596		
000597		
000598		
000599		
000600		
000601		
000602		<pm>.</pm>
000603		
000604		
000605		
000606		
000607		
000608		
000609		
000610		<pm>.</pm>
000611		
000612		
000613		
000614		
000615		
000616		
000617		
000618		
000619		
000620		
000621		
000622		
000623		<pm>,</pm>
000624		
000625		
000626		
000627		
000628		
000629		
000630		
000631		
000632		
000633		
000634		
000635		<pm>,</pm>
000636		
000637		
000638		
000639		
000640		<pm>.</pm>
000641		
000642		
000643		
000644		
000645		
000646		
000647		
000648		<pm>,</pm>
000649		
000650		
000651		
000652		
000653		
000654		
000655		
000656		<pm>.</pm><pm>¶</pm>
000657		
000658		
000659		
000660		
000661		
000662		
000663		
000664		
000665		
000666		
000667		
000668		<pm>·</pm>
000669		
000670		
000671		
000672		
000673		
000674		
000675		
000676		
000677		
000678		
000679		
000680		
000681		
000682		
000683		
000684		
000685		
000686		
000687		<pm>·</pm>
000688		
000689		
000690		
000691		
000692		
000693		
000694		
000695		
000696		<pm>.</pm>
000697		
000698		
000699		
000700		
000701		
000702		
000703		
000704		
000705		
000706		
000707		
000708		
000709		
000710		
000711		<pm>,</pm>
000712		
000713		
000714		
000715		
000716		
000717		
000718		<pm>·</pm>
000719		
000720		
000721		
000722		
000723		
000724		
000725		
000726		
000727		
000728		<pm>·</pm>
000729	<pm>‡</pm>	
000730		
000731		
000732		
000733		
000734		<pm>.</pm><pm>¶</pm>
000735		
000736		
000737		
000738		
000739		
000740		
000741		
000742		
000743		
000744		<pm>,</pm>
000745		
000746		
000747		
000748		
000749		
000750		
000751		
000752		
000753		
000754		
000755		
000756		
000757		
000758		
000759		
000760		
000761		
000762		
000763		<pm>,</pm>
000764		
000765		
000766		
000767		
000768		
000769		
000770		
000771		<pm>.</pm>
000772		
000773		
000774		
000775		
000776		
000777		
000778		
000779		
000780		<pm>·</pm>
000781	<pm>‡</pm>	
000782		
000783		
000784		<pm>,</pm>
000785	<pm>‡</pm>	
000786		
000787		
000788		<pm>·</pm>
000789	<pm>‡</pm>	
000790		
000791		
000792		
000793		<pm>,</pm>
000794	<pm>‡</pm>	
000795		
000796		
000797		<pm>,</pm>
000798	<pm>‡</pm>	
000799		
000800		<pm>.</pm><pm>¶</pm>
000801		
000802		
000803		
000804		
000805		
000806		
000807		
000808		
000809		
000810		
000811		
000812		
000813		
000814		
000815		<pm>·</pm>
000816		
000817		
000818		
000819		
000820		
000821		
000822		
000823		
000824		
000825		
000826		
000827		
000828		<pm>·</pm>
000829		
000830		
000831		
000832		
000833		
000834		
000835		
000836		<pm>.</pm>
000837		
000838		
000839		
000840		
000841		
000842		
000843		
000844		
000845		
000846		
