G1	<p><u><b>『66』</b></u><br>｛66.1.8｜66.1.8｝｛66.21.6｜66.21.6｝｛66.22.13｜66.22.13｝</p>
G2	<p><u><b>『42』</b></u><br>｛42.1.5｜42.1.5｝</p><p><u><b>『44』</b></u><br>｛44.7.40｜44.7.40｝</p><p><u><b>『58』</b></u><br>｛58.5.4｜58.5.4｝｛58.7.11｜58.7.11｝｛58.9.4｜58.9.4｝</p>
G3	<p><u><b>『66』</b></u><br>｛66.9.11｜66.9.11｝</p>
G4	<p><u><b>『47』</b></u><br>｛47.11.9｜47.11.9｝</p>
G5	<p><u><b>『41』</b></u><br>｛41.14.36｜41.14.36｝</p><p><u><b>『45』</b></u><br>｛45.8.15｜45.8.15｝</p><p><u><b>『48』</b></u><br>｛48.4.6｜48.4.6｝</p>
G6	<p><u><b>『40』</b></u><br>｛40.23.35｜40.23.35｝</p><p><u><b>『42』</b></u><br>｛42.11.51｜42.11.51｝</p><p><u><b>『58』</b></u><br>｛58.11.4｜58.11.4｝｛58.12.24｜58.12.24｝</p>
G7	<p><u><b>『40』</b></u><br>｛40.1.7｜40.1.7｝｛40.1.7｜40.1.7｝</p><p><u><b>『42』</b></u><br>｛42.1.5｜42.1.5｝</p>
G8	<p><u><b>『41』</b></u><br>｛41.2.26｜41.2.26｝</p>
G9	<p><u><b>『42』</b></u><br>｛42.3.1｜42.3.1｝</p>
G10	<p><u><b>『40』</b></u><br>｛40.1.13｜40.1.13｝｛40.1.13｜40.1.13｝</p>
