BGBsort	Book	Chapter	Verse	Heading	Crossref
43781	42	7	24	Jesus Testifies about John	『matthew｜11｜7｜Matthew 11:7-19』『luke｜1｜5｜Luke 1:5-25』『luke｜16｜14｜Luke 16:14-17』
44031	42	7	36	A Sinful Woman Anoints Jesus	
44365	42	8	1	Women Minister to Jesus	
44439	42	8	4	The Parable of the Sower	『matthew｜13｜1｜Matthew 13:1-9』『mark｜4｜1｜Mark 4:1-9』
44722	42	8	16	The Lesson of the Lamp	『mark｜4｜21｜Mark 4:21-25』
44795	42	8	19	Jesus' Mother and Brothers	『matthew｜12｜46｜Matthew 12:46-50』『mark｜3｜31｜Mark 3:31-35』
44861	42	8	22	Jesus Calms the Storm	『matthew｜8｜23｜Matthew 8:23-27』『mark｜4｜35｜Mark 4:35-41』
44971	42	8	26	The Demons and the Pigs	『matthew｜8｜28｜Matthew 8:28-34』『mark｜5｜1｜Mark 5:1-20』
45320	42	8	40	The Healing Touch of Jesus	『matthew｜9｜18｜Matthew 9:18-26』『mark｜5｜21｜Mark 5:21-43』
45681	42	9	1	The Ministry of the Twelve	『matthew｜10｜5｜Matthew 10:5-15』『mark｜6｜7｜Mark 6:7-13』
45798	42	9	7	Herod Desires to See Jesus	『matthew｜14｜1｜Matthew 14:1-12』『mark｜6｜14｜Mark 6:14-29』
45863	42	9	10	The Feeding of the Five Thousand	『matthew｜14｜13｜Matthew 14:13-21』『mark｜6｜30｜Mark 6:30-44』『john｜6｜1｜John 6:1-15』
46059	42	9	18	Peter's Confession of Christ	『matthew｜16｜13｜Matthew 16:13-20』『mark｜8｜27｜Mark 8:27-30』『john｜6｜66｜John 6:66-71』
46129	42	9	21	Christ's Passion Foretold	『matthew｜16｜21｜Matthew 16:21-23』『mark｜8｜31｜Mark 8:31-33』
46170	42	9	23	Take Up Your Cross	『matthew｜10｜37｜Matthew 10:37-39』『matthew｜16｜24｜Matthew 16:24-28』『mark｜8｜34｜Mark 8:34-38』
46296	42	9	28	The Transfiguration	『matthew｜17｜1｜Matthew 17:1-13』『mark｜9｜1｜Mark 9:1-13』『2_peter｜1｜16｜2 Peter 1:16-21』
46510	42	9	37	The Boy with an Evil Spirit	『matthew｜17｜14｜Matthew 17:14-21』『mark｜9｜14｜Mark 9:14-29』『luke｜17｜5｜Luke 17:5-10』
46650	42	9	43	The Second Prediction of the Passion	『luke｜18｜31｜Luke 18:31-34』『mark｜9｜30｜Mark 9:30-32』
46724	42	9	46	The Greatest in the Kingdom	『matthew｜18｜1｜Matthew 18:1-6』『mark｜9｜33｜Mark 9:33-37』
46843	42	9	51	The Samaritans Reject Jesus	
46961	42	9	57	The Cost of Discipleship	『matthew｜8｜18｜Matthew 8:18-22』『luke｜14｜25｜Luke 14:25-33』『john｜6｜60｜John 6:60-65』
47102	42	10	1	Jesus Sends Out the Disciples	
47363	42	10	13	Woe to the Unrepentant	『matthew｜11｜20｜Matthew 11:20-24』
47447	42	10	17	The Joyful Return	
47537	42	10	21	Jesus' Prayer of Thanksgiving	『matthew｜11｜25｜Matthew 11:25-30』
47666	42	10	25	The Parable of the Good Samaritan	
47948	42	10	38	Martha and Mary	
48063	42	11	1	The Lord's Prayer	『matthew｜6｜5｜Matthew 6:5-15』
48175	42	11	5	Ask, Seek, Knock	『matthew｜7｜7｜Matthew 7:7-12』
48372	42	11	14	A House Divided	『matthew｜12｜22｜Matthew 12:22-30』『mark｜3｜20｜Mark 3:20-27』
48580	42	11	24	An Unclean Spirit Returns	『matthew｜12｜43｜Matthew 12:43-45』
48648	42	11	27	True Blessedness	
48695	42	11	29	The Sign of Jonah	『matthew｜12｜38｜Matthew 12:38-42』
48808	42	11	33	The Lamp of the Body	『matthew｜6｜22｜Matthew 6:22-24』
48907	42	11	37	Woes to Religious Leaders	『matthew｜23｜1｜Matthew 23:1-36』
49285	42	12	1	The Leaven of the Pharisees	
49360	42	12	4	Fear God Alone	『matthew｜10｜26｜Matthew 10:26-31』
49448	42	12	8	Confessing Christ	『matthew｜10｜32｜Matthew 10:32-33』
49562	42	12	13	The Parable of the Rich Fool	
49746	42	12	22	Do Not Worry	『matthew｜6｜25｜Matthew 6:25-34』
50010	42	12	35	Be Ready for Service	『genesis｜6｜1｜Genesis 6:1-7』『matthew｜24｜36｜Matthew 24:36-51』『mark｜13｜32｜Mark 13:32-37』
50338	42	12	49	Not Peace, But Division	『matthew｜10｜34｜Matthew 10:34-36』
50438	42	12	54	Interpreting the Present Time	『matthew｜16｜1｜Matthew 16:1-4』『mark｜8｜11｜Mark 8:11-13』
50498	42	12	57	Reconcile with an Adversary	『matthew｜5｜21｜Matthew 5:21-26』
50569	42	13	1	A Call to Repentance	『joel｜1｜13｜Joel 1:13-20』『amos｜5｜4｜Amos 5:4-15』『zephaniah｜2｜1｜Zephaniah 2:1-3』
50676	42	13	6	The Parable of the Barren Fig Tree	『isaiah｜5｜1｜Isaiah 5:1-7』
50775	42	13	10	Jesus Heals a Woman on the Sabbath	
50968	42	13	18	The Parable of the Mustard Seed	『matthew｜13｜31｜Matthew 13:31-32』『mark｜4｜30｜Mark 4:30-34』
51016	42	13	20	The Parable of the Leaven	『judges｜20｜18｜Judges 20:18-23』『2_samuel｜2｜12｜2 Samuel 2:12-32』『2_chronicles｜13｜4｜2 Chronicles 13:4-19』『matthew｜13｜33｜Matthew 13:33』
51048	42	13	22	The Narrow Door	『matthew｜7｜13｜Matthew 7:13-14』
51245	42	13	31	Lament over Jerusalem	『matthew｜23｜37｜Matthew 23:37-39』
51374	42	14	1	Jesus Heals a Man with Dropsy	
51480	42	14	7	The Parable of the Guests	
51668	42	14	15	The Parable of the Banquet	『matthew｜22｜1｜Matthew 22:1-14』
51888	42	14	25	The Cost of Discipleship	『matthew｜8｜18｜Matthew 8:18-22』『luke｜9｜57｜Luke 9:57-62』『john｜6｜60｜John 6:60-65』
52087	42	14	34	Good Salt	
52124	42	15	1	The Parable of the Lost Sheep	『matthew｜18｜10｜Matthew 18:10-14』
52269	42	15	8	The Parable of the Lost Coin	
52334	42	15	11	The Parable of the Prodigal Son	『deuteronomy｜21｜18｜Deuteronomy 21:18-21』
52823	42	16	1	The Parable of the Shrewd Manager	
53137	42	16	14	The Law and the Prophets	『matthew｜11｜7｜Matthew 11:7-19』『luke｜1｜5｜Luke 1:5-25』『luke｜7｜24｜Luke 7:24-35』
53246	42	16	19	The Rich Man and Lazarus	『john｜5｜39｜John 5:39-47』
53542	42	17	1	Temptations and Trespasses	『matthew｜18｜7｜Matthew 18:7-9』『mark｜9｜42｜Mark 9:42-50』
53629	42	17	5	The Power of Faith	『matthew｜17｜14｜Matthew 17:14-21』『mark｜9｜14｜Mark 9:14-29』
53755	42	17	11	The Ten Lepers	『2_kings｜5｜1｜2 Kings 5:1-14』
53908	42	17	20	The Coming of the Kingdom	
54272	42	18	1	The Persistent Widow	
54442	42	18	9	The Pharisee and Tax Collector	
54583	42	18	15	Jesus Blesses the Children	『matthew｜19｜13｜Matthew 19:13-15』『mark｜10｜13｜Mark 10:13-16』
54652	42	18	18	The Rich Young Ruler	『matthew｜19｜16｜Matthew 19:16-30』『mark｜10｜17｜Mark 10:17-31』
54907	42	18	31	The Third Prediction of the Passion	『matthew｜20｜17｜Matthew 20:17-19』『luke｜9｜43｜Luke 9:43-45』
54984	42	18	35	Jesus Heals a Blind Beggar	『matthew｜20｜29｜Matthew 20:29-34』『mark｜10｜46｜Mark 10:46-52』
55128	42	19	1	Jesus and Zacchaeus	『numbers｜5｜5｜Numbers 5:5-10』
55315	42	19	11	The Parable of the Ten Minas	『matthew｜25｜14｜Matthew 25:14-30』
55663	42	19	28	The Triumphal Entry	『zechariah｜9｜9｜Zechariah 9:9-13』『matthew｜21｜1｜Matthew 21:1-11』『mark｜11｜1｜Mark 11:1-11』『john｜12｜12｜John 12:12-19』
55909	42	19	41	Jesus Weeps over Jerusalem	『isaiah｜29｜1｜Isaiah 29:1-16』
55998	42	19	45	Jesus Cleanses the Temple	『matthew｜21｜12｜Matthew 21:12-17』『mark｜11｜15｜Mark 11:15-19』『john｜2｜12｜John 2:12-25』
56075	42	20	1	Jesus' Authority Challenged	『matthew｜21｜23｜Matthew 21:23-27』『mark｜11｜27｜Mark 11:27-33』
56225	42	20	9	The Parable of the Wicked Tenants	『matthew｜21｜33｜Matthew 21:33-46』『mark｜12｜1｜Mark 12:1-12』
56435	42	20	19	Paying Taxes to Caesar	『matthew｜22｜15｜Matthew 22:15-22』『mark｜12｜13｜Mark 12:13-17』
56600	42	20	27	The Sadducees and the Resurrection	『matthew｜22｜23｜Matthew 22:23-33』『mark｜12｜18｜Mark 12:18-27』
56847	42	20	41	Whose Son is the Christ?	『matthew｜22｜41｜Matthew 22:41-46』『mark｜12｜35｜Mark 12:35-37』
56910	42	20	45	Beware of the Scribes	『mark｜12｜38｜Mark 12:38-40』
56970	42	21	1	The Poor Widow's Offering	『mark｜12｜41｜Mark 12:41-44』
57044	42	21	5	Temple Destruction Foretold	『matthew｜24｜1｜Matthew 24:1-4』『mark｜13｜1｜Mark 13:1-9』
57152	42	21	10	Witnessing to All Nations	『matthew｜24｜9｜Matthew 24:9-14』『mark｜13｜10｜Mark 13:10-13』
57319	42	21	20	The Destruction of Jerusalem	『matthew｜24｜15｜Matthew 24:15-25』『mark｜13｜14｜Mark 13:14-23』
57434	42	21	25	The Return of the Son of Man	『matthew｜24｜26｜Matthew 24:26-31』『mark｜13｜24｜Mark 13:24-27』
57517	42	21	29	The Lesson of the Fig Tree	『matthew｜24｜32｜Matthew 24:32-35』『mark｜13｜28｜Mark 13:28-31』
57603	42	21	34	Be Watchful for the Day	
57712	42	22	1	The Plot to Kill Jesus	『matthew｜26｜1｜Matthew 26:1-5』『mark｜14｜1｜Mark 14:1-2』『john｜11｜45｜John 11:45-57』
57804	42	22	7	Preparing the Passover	『psalms｜41｜1｜Psalm 41:1-13』『matthew｜26｜17｜Matthew 26:17-25』『mark｜14｜12｜Mark 14:12-21』『john｜13｜18｜John 13:18-30』
57928	42	22	14	The Last Supper	『matthew｜26｜26｜Matthew 26:26-30』『mark｜14｜22｜Mark 14:22-26』『1_corinthians｜11｜17｜1 Corinthians 11:17-34』
58137	42	22	24	Who is the Greatest?	
58275	42	22	31	Jesus Predicts Peter's Denial	『matthew｜26｜31｜Matthew 26:31-35』『mark｜14｜27｜Mark 14:27-31』『john｜13｜36｜John 13:36-38』
58449	42	22	39	Jesus Prays on the Mount of Olives	『matthew｜26｜36｜Matthew 26:36-46』『mark｜14｜32｜Mark 14:32-42』
58596	42	22	47	The Betrayal of Jesus	『matthew｜26｜47｜Matthew 26:47-56』『mark｜14｜43｜Mark 14:43-52』『john｜18｜1｜John 18:1-14』
58748	42	22	54	Peter Denies Jesus	『matthew｜26｜69｜Matthew 26:69-75』『mark｜14｜66｜Mark 14:66-72』『john｜18｜15｜John 18:15-18』
58926	42	22	63	The Soldiers Mock Jesus	『isaiah｜50｜4｜Isaiah 50:4-11』『matthew｜27｜27｜Matthew 27:27-31』『mark｜15｜16｜Mark 15:16-20』『john｜19｜1｜John 19:1-15』
58970	42	22	66	Jesus Faces the Council	
59088	42	23	1	Jesus Before Pilate	『matthew｜27｜11｜Matthew 27:11-14』『john｜18｜28｜John 18:28-40』
59197	42	23	6	Jesus Before Herod	
59346	42	23	13	The Crowd Chooses Barabbas	『matthew｜27｜15｜Matthew 27:15-23』『mark｜15｜6｜Mark 15:6-11』
59572	42	23	26	The Crucifixion	『psalms｜22｜1｜Psalm 22:1-36』『psalms｜69｜1｜Psalm 69:1-36』『matthew｜27｜32｜Matthew 27:32-44』『mark｜15｜21｜Mark 15:21-32』『john｜19｜16｜John 19:16-27』
59932	42	23	44	The Death of Jesus	『psalms｜22｜1｜Psalm 22:1-31』『matthew｜27｜45｜Matthew 27:45-56』『mark｜15｜33｜Mark 15:33-41』『john｜19｜28｜John 19:28-30』
60051	42	23	50	The Burial of Jesus	『isaiah｜53｜9｜Isaiah 53:9-12』『matthew｜27｜57｜Matthew 27:57-61』『mark｜15｜42｜Mark 15:42-47』『john｜19｜38｜John 19:38-42』
60179	42	24	1	The Resurrection	『psalms｜16｜1｜Psalm 16:1-11』『psalms｜49｜1｜Psalm 49:1-20』『matthew｜28｜1｜Matthew 28:1-10』『mark｜16｜1｜Mark 16:1-8』『john｜20｜1｜John 20:1-9』
60403	42	24	13	The Road to Emmaus	『mark｜16｜12｜Mark 16:12-13』
60664	42	24	25	Jesus Opens the Scriptures	
60886	42	24	36	Jesus Appears to the Disciples	『john｜20｜19｜John 20:19-23』『1_john｜1｜1｜1 John 1:1-4』
61019	42	24	44	Jesus Unveils the Scriptures	
61145	42	24	50	The Ascension	『mark｜16｜19｜Mark 16:19-20』『acts｜1｜6｜Acts 1:6-11』
61210	43	1	1	The Beginning	『genesis｜1｜1｜Genesis 1:1-2』
61291	43	1	6	The Witness of John	『malachi｜3｜1｜Malachi 3:1-5』
61427	43	1	14	The Word Became Flesh	『psalms｜84｜1｜Psalm 84:1-12』
61534	43	1	19	The Mission of John the Baptist	『isaiah｜40｜1｜Isaiah 40:1-5』『matthew｜3｜1｜Matthew 3:1-12』『mark｜1｜1｜Mark 1:1-8』『luke｜3｜1｜Luke 3:1-20』
61731	43	1	29	Jesus the Lamb of God	『matthew｜3｜13｜Matthew 3:13-17』『mark｜1｜9｜Mark 1:9-11』『luke｜3｜21｜Luke 3:21-22』
61870	43	1	35	The First Disciples	『matthew｜4｜18｜Matthew 4:18-22』『matthew｜13｜47｜Matthew 13:47-52』『mark｜1｜16｜Mark 1:16-20』『luke｜5｜1｜Luke 5:1-11』
62038	43	1	43	Jesus Calls Philip and Nathanael	
62243	43	2	1	The Wedding at Cana	
62472	43	2	12	Jesus Cleanses the Temple	『matthew｜21｜12｜Matthew 21:12-17』『mark｜11｜15｜Mark 11:15-19』『luke｜19｜45｜Luke 19:45-48』
62774	43	3	1	Jesus and Nicodemus	
63099	43	3	16	For God So Loved	『genesis｜22｜1｜Genesis 22:1-10』『romans｜5｜6｜Romans 5:6-11』
63259	43	3	22	John's Testimony about Jesus	
63582	43	4	1	Jesus and the Samaritan Woman	
64135	43	4	27	The Disciples Return and Marvel	
64375	43	4	39	Many Samaritans Believe	
64463	43	4	43	Jesus Heals the Official's Son	『matthew｜8｜5｜Matthew 8:5-13』『luke｜7｜1｜Luke 7:1-10』
64735	43	5	1	The Pool of Bethesda	
65051	43	5	16	The Father and the Son	
65419	43	5	31	Testimonies about Jesus	
65586	43	5	39	The Witness of Scripture	『luke｜16｜19｜Luke 16:19-31』
65748	43	6	1	The Feeding of the Five Thousand	『matthew｜14｜13｜Matthew 14:13-21』『mark｜6｜30｜Mark 6:30-44』『luke｜9｜10｜Luke 9:10-17』
66044	43	6	16	Jesus Walks on Water	『matthew｜14｜22｜Matthew 14:22-33』『mark｜6｜45｜Mark 6:45-52』
66155	43	6	22	Jesus the Bread of Life	
67019	43	6	59	Many Disciples Turn Back	『matthew｜8｜18｜Matthew 8:18-22』『luke｜9｜57｜Luke 9:57-62』『luke｜14｜25｜Luke 14:25-33』
67167	43	6	66	Peter's Confession of Faith	『matthew｜16｜13｜Matthew 16:13-20』『mark｜8｜27｜Mark 8:27-30』『luke｜9｜18｜Luke 9:18-20』
67273	43	7	1	Jesus Teaches at the Feast	
67760	43	7	25	Is Jesus the Christ?	
68030	43	7	37	Living Water	
68102	43	7	40	Division Regarding Jesus	
68196	43	7	45	Unbelief of the Jewish Leaders	
68353	43	8	1	The Woman Caught in Adultery	
68584	43	8	12	Jesus the Light of the World	『1_john｜1｜5｜1 John 1:5-10』
69015	43	8	30	The Truth will Set You Free	『2_john｜1｜4｜2 John 1:4-6』
69140	43	8	37	The Children of the Devil	
69420	43	8	48	Before Abraham was Born, I Am	
69690	43	9	1	Jesus Heals the Man Born Blind	
69929	43	9	13	The Pharisees Investigate the Healing	
70408	43	9	35	Spiritual Blindness	
70546	43	10	1	Jesus the Good Shepherd	『psalms｜23｜1｜Psalm 23:1-6』『ezekiel｜34｜11｜Ezekiel 34:11-24』
70998	43	10	22	The Unbelief of the Jews	
71353	43	10	40	John's Testimony Confirmed	
71411	43	11	1	The Death of Lazarus	
71723	43	11	17	Jesus Comforts Martha and Mary	
72137	43	11	38	Jesus Raises Lazarus	『acts｜20｜7｜Acts 20:7-12』
72291	43	11	45	The Plot to Kill Jesus	『matthew｜26｜1｜Matthew 26:1-5』『mark｜14｜1｜Mark 14:1-2』『luke｜22｜1｜Luke 22:1-6』
72584	43	12	1	Mary Anoints Jesus	『matthew｜26｜6｜Matthew 26:6-13』『mark｜14｜3｜Mark 14:3-9』
72759	43	12	9	The Plot to Kill Lazarus	
72820	43	12	12	The Triumphal Entry	『zechariah｜9｜9｜Zechariah 9:9-13』『matthew｜21｜1｜Matthew 21:1-11』『mark｜11｜1｜Mark 11:1-11』『luke｜19｜28｜Luke 19:28-40』
72992	43	12	20	Jesus Predicts His Death	
73379	43	12	37	Belief and Unbelief	
73676	43	13	1	Jesus Washes His Disciples' Feet	
74044	43	13	18	Jesus Predicts His Betrayal	『psalms｜41｜1｜Psalm 41:1-13』『matthew｜26｜17｜Matthew 26:17-25』『mark｜14｜12｜Mark 14:12-21』『luke｜22｜7｜Luke 22:7-13』
74318	43	13	31	Love One Another	『romans｜12｜9｜Romans 12:9-13』『1_john｜3｜11｜1 John 3:11-24』
74425	43	13	36	Jesus Predicts Peter's Denial	『matthew｜26｜31｜Matthew 26:31-35』『mark｜14｜27｜Mark 14:27-31』『luke｜22｜31｜Luke 22:31-38』
74496	43	14	1	In My Father's House are Many Rooms	
74573	43	14	5	The Way, the Truth, and the Life	
74808	43	14	15	Jesus Promises the Holy Spirit	『joel｜2｜28｜Joel 2:28-32』『john｜16｜5｜John 16:5-16』『acts｜2｜1｜Acts 2:1-13』『acts｜10｜44｜Acts 10:44-48』『acts｜19｜1｜Acts 19:1-7』
75082	43	14	27	Peace I Leave with You	『romans｜5｜1｜Romans 5:1-5』
75199	43	15	1	Jesus the True Vine	
75383	43	15	9	No Greater Love	
75578	43	15	18	The Hatred of the World	
75806	43	16	1	Persecution Foretold	『acts｜23｜12｜Acts 23:12-22』
75881	43	16	5	The Promise of the Holy Spirit	『joel｜2｜28｜Joel 2:28-32』『john｜14｜15｜John 14:15-26』『acts｜2｜1｜Acts 2:1-13』『acts｜10｜44｜Acts 10:44-48』『acts｜19｜1｜Acts 19:1-7』
76111	43	16	17	Grief to Joy	
76282	43	16	23	Ask and You will Receive	
76525	43	17	1	Prayer for the Son	
76636	43	17	6	Prayer for the Disciples	
76949	43	17	20	Prayer for all Believers	
77127	43	18	1	The Betrayal of Jesus	『matthew｜26｜47｜Matthew 26:47-56』『mark｜14｜43｜Mark 14:43-52』『luke｜22｜47｜Luke 22:47-53』
77431	43	18	15	Peter's First Denial	『matthew｜26｜69｜Matthew 26:69-71』『mark｜14｜66｜Mark 14:66-67』『luke｜22｜54｜Luke 22:54-57』
77545	43	18	19	Jesus Before the High Priest	『isaiah｜53｜1｜Isaiah 53:1-8』『matthew｜26｜57｜Matthew 26:57-68』『mark｜14｜53｜Mark 14:53-65』『1_peter｜2｜21｜1 Peter 2:21-25』
77669	43	18	25	Peter's Second and Third Denials	『matthew｜26｜71｜Matthew 26:71-75』『mark｜14｜68｜Mark 14:68-72』『luke｜22｜58｜Luke 22:58-62』
77736	43	18	28	Jesus Before Pilate	『matthew｜27｜11｜Matthew 27:11-14』『luke｜23｜1｜Luke 23:1-6』
78077	43	19	1	The Soldiers Mock Jesus	『isaiah｜50｜4｜Isaiah 50:4-11』『matthew｜27｜27｜Matthew 27:27-31』『mark｜15｜16｜Mark 15:16-20』『luke｜22｜63｜Luke 22:63-65』
78430	43	19	16	The Crucifixion	『psalms｜22｜1｜Psalm 22:1-36』『psalms｜69｜1｜Psalm 69:1-36』『matthew｜27｜32｜Matthew 27:32-44』『mark｜15｜21｜Mark 15:21-32』『luke｜23｜26｜Luke 23:26-43』
78725	43	19	28	The Death of Jesus	『psalms｜22｜1｜Psalm 22:1-31』『matthew｜27｜45｜Matthew 27:45-56』『mark｜15｜33｜Mark 15:33-41』『luke｜23｜44｜Luke 23:44-49』
78783	43	19	31	Jesus' Side is Pierced	『zechariah｜12｜10｜Zechariah 12:10-14』
78933	43	19	38	The Burial of Jesus	『isaiah｜53｜9｜Isaiah 53:9-12』『matthew｜27｜57｜Matthew 27:57-61』『mark｜15｜42｜Mark 15:42-47』『luke｜23｜50｜Luke 23:50-56』
79064	43	20	1	The Resurrection	『psalms｜16｜1｜Psalm 16:1-11』『psalms｜49｜1｜Psalm 49:1-20』『matthew｜28｜1｜Matthew 28:1-10』『mark｜16｜1｜Mark 16:1-8』『luke｜24｜1｜Luke 24:1-12』
79261	43	20	10	Jesus Appears to Mary Magdalene	『mark｜16｜9｜Mark 16:9-11』
79470	43	20	19	Jesus Appears to the Disciples	『luke｜24｜36｜Luke 24:36-43』『1_john｜1｜1｜1 John 1:1-4』
79580	43	20	24	Jesus Appears to Thomas	
79752	43	20	30	The Purpose of John's Book	
79804	43	21	1	Jesus Appears by the Sea of Tiberias	
80140	43	21	15	Jesus Reinstates Peter	
80296	43	21	20	Jesus and the Beloved Apostle	
80453	44	1	1	Prologue	『luke｜1｜1｜Luke 1:1-4』
80560	44	1	6	The Ascension	『mark｜16｜19｜Mark 16:19-20』『luke｜24｜50｜Luke 24:50-53』
80712	44	1	12	Matthias Replaces Judas	
81063	44	2	1	The Holy Spirit at Pentecost	『joel｜2｜28｜Joel 2:28-32』『john｜14｜15｜John 14:15-26』『john｜16｜5｜John 16:5-16』『acts｜10｜44｜Acts 10:44-48』『acts｜19｜1｜Acts 19:1-7』
81309	44	2	14	Peter Preaches to the Crowd	
81845	44	2	37	Three Thousand Believe	
81964	44	2	42	The Fellowship of Believers	『acts｜4｜32｜Acts 4:32-37』
82088	44	3	1	A Lame Man Walks	
82306	44	3	11	Peter Speaks in Solomon's Colonnade	
82695	44	4	1	Peter and John Before the Council	
82958	44	4	13	The Name Forbidden	
83171	44	4	23	The Believers' Prayer	『psalms｜2｜1｜Psalm 2:1-12』
83396	44	4	32	Sharing among Believers	『acts｜2｜42｜Acts 2:42-47』
83531	44	5	1	Ananias and Sapphira	
83781	44	5	12	The Apostles Heal Many	
83888	44	5	17	The Apostles Arrested and Freed	
84044	44	5	24	The Apostles Before the Council	
84246	44	5	33	Gamaliel's Advice	
84472	44	6	1	The Choosing of the Seven	『1_timothy｜3｜8｜1 Timothy 3:8-13』
84638	44	6	8	The Arrest of Stephen	
84811	44	7	1	Stephen's Address to the Sanhedrin	
86034	44	7	54	The Stoning of Stephen	
86174	44	8	1	Saul Persecutes the Church	
86249	44	8	4	Philip in Samaria	
86333	44	8	9	Simon the Sorcerer	『deuteronomy｜18｜9｜Deuteronomy 18:9-14』
86690	44	8	26	Philip and the Ethiopian	
87052	44	9	1	The Road to Damascus	『acts｜22｜1｜Acts 22:1-21』『acts｜26｜1｜Acts 26:1-23』
87247	44	9	10	Ananias Baptizes Saul	
87484	44	9	20	Saul Preaches at Damascus	
87560	44	9	23	The Escape from Damascus	『1_samuel｜19｜11｜1 Samuel 19:11-24』
87615	44	9	26	Saul in Jerusalem	
87756	44	9	32	The Healing of Aeneas	
87834	44	9	36	The Raising of Dorcas	
88027	44	10	1	Cornelius Sends for Peter	
88198	44	10	9	Peter's Vision	『leviticus｜11｜1｜Leviticus 11:1-47』『deuteronomy｜14｜1｜Deuteronomy 14:1-21』
88343	44	10	17	Peter Called to Caesarea	
88520	44	10	24	Peter Visits Cornelius	
88740	44	10	34	Good News for Gentiles	
88967	44	10	44	The Gentiles Receive the Holy Spirit	『joel｜2｜28｜Joel 2:28-32』『john｜14｜15｜John 14:15-26』『john｜16｜5｜John 16:5-16』『acts｜2｜1｜Acts 2:1-13』『acts｜19｜1｜Acts 19:1-7』
89073	44	11	1	Peter's Report at Jerusalem	
89456	44	11	19	The Church at Antioch	
89722	44	12	1	James Killed, Peter Imprisoned	
89799	44	12	5	The Rescue of Peter	
90194	44	12	20	The Death of Herod	
90315	44	13	1	Paul's First Missionary Journey	『acts｜15｜36｜Acts 15:36-41』『acts｜18｜23｜Acts 18:23-28』
90393	44	13	4	On Cyprus	
90593	44	13	13	In Pisidian Antioch	
91212	44	13	42	The Gentiles Ask to Hear the Gospel	
91456	44	14	1	Paul and Barnabas at Iconium	
91600	44	14	8	The Visit to Lystra and Derbe	
91893	44	14	21	The Return to Syrian Antioch	
91986	44	14	26	The Report to the Church at Antioch	
92042	44	15	1	The Dispute over Circumcision	『genesis｜17｜9｜Genesis 17:9-27』『leviticus｜12｜1｜Leviticus 12:1-8』『joshua｜5｜1｜Joshua 5:1-9』
92160	44	15	5	The Council at Jerusalem	
92519	44	15	22	The Letter to the Gentile Believers	
92704	44	15	30	The Believers at Antioch Rejoice	
92801	44	15	36	Paul's Second Missionary Journey	『acts｜13｜1｜Acts 13:1-3』『acts｜18｜23｜Acts 18:23-28』
92919	44	16	1	Timothy Joins Paul and Silas	
93033	44	16	6	Paul's Vision of the Macedonian	
93136	44	16	11	Lydia’s Conversion in Philippi	『revelation｜2｜18｜Revelation 2:18-29』
93259	44	16	16	Paul and Silas Imprisoned	
93466	44	16	25	The Conversion of the Jailer	
93670	44	16	35	An Official Apology	
93799	44	17	1	Paul Preaches at Thessalonica	
93896	44	17	5	The Uproar in Thessalonica	
94002	44	17	10	The Character of the Bereans	
94163	44	17	16	Paul in Athens	
94314	44	17	22	Paul Before the Areopagus	
94611	44	18	1	Paul's Ministry in Corinth	
94865	44	18	12	Paul Before Gallio	
94990	44	18	18	Paul Returns to Antioch	
95100	44	18	23	Paul's Third Missionary Journey	『acts｜13｜1｜Acts 13:1-3』『acts｜15｜36｜Acts 15:36-41』
95243	44	19	1	The Holy Spirit Received at Ephesus	『joel｜2｜28｜Joel 2:28-32』『john｜14｜15｜John 14:15-26』『john｜16｜5｜John 16:5-16』『acts｜2｜1｜Acts 2:1-13』『acts｜10｜44｜Acts 10:44-48』
95382	44	19	8	Paul Ministers in Ephesus	『revelation｜2｜1｜Revelation 2:1-7』
95503	44	19	13	The Sons of Sceva	
95690	44	19	21	The Riot in Ephesus	
96163	44	20	1	Paul in Macedonia and Greece	
96292	44	20	7	Eutychus Revived at Troas	『john｜11｜38｜John 11:38-44』
96422	44	20	13	From Troas to Miletus	
96519	44	20	17	Paul's Farewell to the Ephesians	
96992	44	21	1	Paul's Journey to Jerusalem	
97152	44	21	8	Paul Visits Philip the Evangelist	
97355	44	21	17	Paul's Arrival at Jerusalem	
97590	44	21	27	Paul Seized in the Temple	
97841	44	21	37	Paul Speaks to the People	
97950	44	22	1	Paul's Defense to the Crowd	『acts｜9｜1｜Acts 9:1-9』『acts｜26｜1｜Acts 26:1-23』
98419	44	22	22	Paul the Roman Citizen	
98639	44	23	1	Paul Before the Sanhedrin	
98915	44	23	12	The Plot to Kill Paul	『john｜16｜1｜John 16:1-4』
99192	44	23	23	Paul Sent to Felix	
99443	44	24	1	Tertullus Prosecutes Paul	
99629	44	24	10	Paul's Defense to Felix	
99885	44	24	22	The Verdict Postponed	
100036	44	25	1	Paul's Trial Before Festus	
100232	44	25	10	The Appeal to Caesar	
100307	44	25	13	Festus Consults King Agrippa	
100531	44	25	23	Paul Before Agrippa and Bernice	
100675	44	26	1	Paul's Testimony to Agrippa	『acts｜9｜1｜Acts 9:1-9』『acts｜22｜1｜Acts 22:1-21』
101206	44	26	24	Festus Interrupts Paul's Defense	
101399	44	27	1	Paul Sails for Rome	
